Num.Lines,W/O Test,W Test
1,0.09210159999202006,0.09835740001290105
10,0.1087859999970533,0.10406320000765845
100,0.07924620000994764,0.10638080001808703
1000,0.10299699997995049,0.10362370000802912
2000,0.11802740002167411,0.11896359999082051
3000,0.14321229999768548,0.14413789997342974
4000,0.16131849997327663,0.16231769998557866
5000,0.20506539999041706,0.20609849999891594
6000,0.2211539999989327,0.22242440000991337
7000,0.27881339998566546,0.280045199993765
8000,0.2621958999952767,0.26305870001669973
9000,0.2706792000099085,0.2716782999923453
10000,0.2888813999888953,0.28972040000371635
